,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cape Town,0,ZA,1552698791,82,-33.93,18.42,70.0,5.82
1,Capreol,90,CA,1552699227,85,46.71,-80.92,26.01,12.75
2,Lewiston,90,US,1552699274,100,44.1,-70.21,48.99,5.82
3,Ayat,8,ET,1552694400,58,9.03,38.85,59.0,6.93
4,Bluff,92,AU,1552698903,100,-23.58,149.07,68.52,7.74
5,Samarai,88,PG,1552699333,100,-10.62,150.67,77.61,13.22
6,Cao Bang,92,VN,1552699144,99,22.67,106.25,56.55,2.82
7,Caravelas,12,BR,1552699145,100,-17.73,-39.27,83.87,15.46
8,Jamestown,0,AU,1552698900,89,-33.21,138.6,65.19,4.61
9,Xuddur,0,SO,1552699338,63,4.12,43.89,74.46,12.44
10,Arraial do Cabo,75,BR,1552694400,88,-22.97,-42.02,77.0,5.95
11,Vaini,0,IN,1552694400,46,15.34,74.49,69.8,3.49
12,Ushuaia,40,AR,1552694400,76,-54.81,-68.31,51.8,16.11
13,Sao Filipe,0,CV,1552698947,92,14.9,-24.5,72.21,12.55
14,Airai,68,TL,1552699105,67,-8.93,125.41,75.45,1.7
15,Vardo,1,US,1552698967,36,39.62,-77.74,66.2,21.92
16,Kapaa,20,US,1552698497,61,22.08,-159.32,78.8,8.05
17,Havoysund,80,NO,1552695600,86,71.0,24.66,30.2,13.87
18,Padang,20,ID,1552694400,94,-0.92,100.36,75.2,2.24
19,Saskylakh,76,RU,1552699076,76,71.97,114.09,-0.69,3.49
20,Akhmim,0,EG,1552694400,47,26.56,31.74,57.2,11.41
21,Mount Isa,8,AU,1552696200,14,-20.73,139.49,89.6,12.75
22,Hobart,75,AU,1552698441,59,-42.88,147.33,69.01,5.82
23,Chuy,0,UY,1552699356,90,-33.69,-53.46,69.74,11.77
24,Hambantota,20,LK,1552695000,100,6.12,81.12,75.2,3.36
25,Belmonte,12,PT,1552698990,88,40.36,-7.35,35.01,1.01
26,Itaituba,24,BR,1552699360,80,-4.26,-55.99,80.27,3.15
27,Wilmington,75,US,1552699172,77,39.75,-75.55,66.0,19.46
28,Quatre Cocos,20,MU,1552699143,94,-20.21,57.76,75.99,4.7
29,Shumskiy,0,RU,1552699363,69,54.83,99.13,19.56,2.15
30,Rikitea,88,PF,1552698956,100,-23.12,-134.97,77.52,24.74
31,Port Macquarie,75,AU,1552698845,78,-31.43,152.91,71.6,8.05
32,Georgetown,40,GY,1552694400,83,6.8,-58.16,80.6,13.87
33,Rio Gallegos,75,AR,1552694400,87,-51.62,-69.22,55.4,6.93
34,Lavrentiya,68,RU,1552699159,100,65.58,-170.99,15.06,17.02
35,Sebinkarahisar,92,TR,1552699370,99,40.29,38.42,33.29,2.59
36,Kavieng,80,PG,1552699077,100,-2.57,150.8,82.52,11.54
37,Adrar,0,DZ,1552694400,23,27.87,-0.29,60.8,16.11
38,Bredasdorp,88,ZA,1552698036,88,-34.53,20.04,72.0,11.41
39,Chapais,90,CA,1552698660,86,49.78,-74.86,28.4,12.75
40,Butaritari,56,KI,1552699008,100,3.07,172.79,81.17,10.98
41,Provideniya,0,RU,1552699092,100,64.42,-173.23,16.23,19.71
42,Sao Joao del Rei,68,BR,1552699203,98,-21.14,-44.26,65.1,4.61
43,Avarua,20,CK,1552696200,94,-21.21,-159.78,75.2,18.34
44,Yellowknife,75,CA,1552698803,73,62.45,-114.38,23.0,5.82
45,Lebu,8,ET,1552694400,58,8.96,38.73,59.0,6.93
46,Hermanus,0,ZA,1552698097,89,-34.42,19.24,72.0,5.99
47,Boa Vista,40,BR,1552698000,55,2.82,-60.67,86.0,17.22
48,Djambala,64,CG,1552699386,98,-2.55,14.76,69.51,6.4
49,Okhotsk,80,RU,1552699387,94,59.36,143.24,14.34,6.73
50,Lensk,76,RU,1552699388,86,60.71,114.91,24.56,4.72
51,Kutum,56,SD,1552699389,21,14.2,24.66,64.29,10.2
52,Qaanaaq,20,GL,1552699181,100,77.48,-69.36,-20.09,7.85
53,Mitsamiouli,0,KM,1552699391,100,-11.38,43.28,79.23,3.15
54,Port Augusta,0,AU,1552699210,47,-32.49,137.76,82.0,5.82
55,Kargil,12,PK,1552699394,77,34.56,76.13,2.06,1.36
56,Mar del Plata,0,AR,1552698915,83,-46.43,-67.52,61.01,8.75
57,Busselton,24,AU,1552698909,43,-33.64,115.35,72.0,12.33
58,Hilo,1,US,1552698739,61,19.71,-155.08,78.8,8.05
59,Tuktoyaktuk,40,CA,1552694400,71,69.44,-133.03,6.8,3.36
60,Talas,75,TR,1552697400,85,38.69,35.55,39.2,1.12
61,Vila Franca do Campo,75,PT,1552699114,77,37.72,-25.43,59.0,4.7
62,Bilma,0,NE,1552699401,13,18.69,12.92,65.51,11.43
63,Salinopolis,36,BR,1552699402,95,-0.61,-47.36,81.12,12.88
64,Aviles,0,ES,1552699247,100,43.55,-5.92,44.01,3.36
65,Ginda,0,IN,1552696200,87,30.69,78.49,51.8,5.82
66,Longyearbyen,20,NO,1552697400,70,78.22,15.63,-0.41,16.11
67,Mataura,8,NZ,1552698604,74,-46.19,168.86,61.0,14.0
68,Nhulunbuy,40,AU,1552696200,70,-12.18,136.78,86.0,5.82
69,Hofn,88,IS,1552699409,100,64.25,-15.21,37.38,22.06
70,Puerto Ayora,0,EC,1552698921,83,-0.74,-90.35,78.01,10.29
71,Umm Lajj,0,SA,1552699415,100,25.02,37.27,57.0,6.4
72,New Norfolk,75,AU,1552698441,59,-42.78,147.06,69.01,5.82
73,Barrow,80,AR,1552699007,94,-38.31,-60.23,66.27,14.0
